#ID	Nom	Frequence	Moyen	Utilisation
ML	MARSEILLE PROVENCE	110.3 Mhz CH40X	ILS--DME	A
MLN	MELUN VILLAROCHE	113.6 Mhz CH83X	VOR--DME	AE
MLX	MORLAIX PLOUJEAN	371 Khz	L	A
MLY	METZ NANCY LORRAINE	111.75 Mhz CH54Y	ILS--DME	A
MM	MONTCEAU LES MINES POUILLOUX	317 Khz	NDB	A
MMD	MONTMEDY--Dun sur Meuse	109.4 Mhz	VOR	E
MO	MACON CHARNAY	400 Khz	L	A
MOG	MONTLUCON GUERET	111.55 Mhz	ILS	A
MOU	MOULINS MONTBEUGNY	324 Khz	NDB	AE
MOU	MOULINS MONTBEUGNY	116.7 Mhz CH114X	VOR--DME	AE
MP	CHERBOURG MAUPERTUS	373 Khz	L	A
MP	CHERBOURG MAUPERTUS	110.55 Mhz CH42Y	ILS--DME	A
MPV	MARSEILLE PROVENCE	111.15 Mhz CH48Y	ILS--DME	A
MRM	MARSEILLE PROVENCE	108.8 Mhz CH25X	VOR--DME	AE
MRV	MERVILLE CALONNE	404 Khz	L	A
MS	MARSEILLE PROVENCE	343 Khz	L	A
MT	SAINT NAZAIRE MONTOIR	398 Khz	L	A
MT	SAINT NAZAIRE MONTOIR	108.5 Mhz CH22X	ILS--DME	A
MTD	MONTDIDIER	113.65 Mhz	VOR	AE
MTG	MARTIGUES	117.3 Mhz CH120X	VOR--DME	AE
MTL	MONTELIMAR ANCONE	113.65 Mhz CH83Y	VOR--DME	E
MTZ	METZ NANCY LORRAINE	354 Khz	L	A
MUS	NICE COTE D'AZUR	428 Khz	NDB	AE
MUT	MURET LHERM	350 Khz	L	A
MV	MELUN VILLAROCHE	434 Khz	L	A
MV	MELUN VILLAROCHE	111.55 Mhz CH52Y	ILS--DME	A
MVC	MERVILLE CALONNE	327 Khz	L	A
MX	MORLAIX PLOUJEAN	110.5 Mhz CH42X	ILS--DME	A
MZ	METZ FRESCATY	109.1 Mhz	ILS	A
NA	NICE COTE D'AZUR	110.7 Mhz CH44X	ILS--DME	A
NAY	NANCY OCHEY	116.8 Mhz CH115X	TACAN	AE
NAY	NANCY OCHEY	108.7 Mhz	ILS	A
NB	BORDEAUX MERIGNAC	361 Khz	L	A
NC	NICE COTE D'AZUR	338 Khz	L	A
NE	NANCY ESSEY	339 Khz	L	A
NEV	NEVERS	113.4 Mhz	VOR	AE
NG	NIMES GARONS	354 Khz	L	A
NG	NIMES GARONS	109.55 Mhz CH32Y	ILS--DME	A
NI	NICE COTE D'AZUR	109.95 Mhz CH36Y	ILS--DME	A
NIM	NIMES GARONS	111.6 Mhz CH53X	TACAN	A
NIZ	NICE COTE D'AZUR	112.4 Mhz CH71X	VOR--DME	AE
NS	NIORT SOUCHE	329 Khz	L	A
NT	NANTES ATLANTIQUE	109.9 Mhz CH36X	ILS--DME	A
NTS	NANTES ATLANTIQUE	115.5 Mhz CH102X	VOR--DME	AE
NV	NEVERS FOURCHAMBAULT	394 Khz	L	A
NY	NANCY ESSEY	108.5 Mhz	ILS	A
OAN	ORLEANS BRICY	385 Khz	NDB	A
OAN	ORLEANS BRICY	116.4 Mhz CH111X	TACAN	A
OAN	ORLEANS BRICY	111.3 Mhz	ILS	A
OB	MARSEILLE PROVENCE	395 Khz	NDB	AE
OC	COGNAC CHATEAUBERNARD	346 Khz	L	A
OL	PARIS ORLY	111.2 Mhz CH49X	VOR--DME	E
OLE	PARIS ORLY	108.15 Mhz	ILS	A
OLN	PARIS ORLY	110.3 Mhz	ILS	A
OLO	PARIS ORLY	110.9 Mhz CH46X	ILS--DME	A
OLW	PARIS ORLY	111.75 Mhz CH54Y	ILS--DME	A
ORE	PARIS ORLY	108.5 Mhz CH22X	ILS--DME	A
ORG	ORANGE CARITAT	328 Khz	NDB	A
ORG	ORANGE CARITAT	109.4 Mhz CH31X	TACAN	A
ORG	ORANGE CARITAT	109.9 Mhz	ILS	A
ORS	ORLEANS SAINT DENIS DE L'HOTEL	322 Khz	L	A
ORW	PARIS ORLY	402 Khz	L	A
OS	TARBES LOURDES PYRENEES	109.5 Mhz CH32X	ILS--DME	A
OSA	OUESSANT	351 Khz	L	A
OT	LE HAVRE OCTEVILLE	109.5 Mhz CH32X	ILS--DME	A
OYE	PARIS ORLY	349 Khz	L	A
PB	PHALSBOURG BOURSCHEID	110.15 Mhz CH38Y	ILS--DME	A
PGS	PARIS CHARLES DE GAULLE	117.05 Mhz CH117Y	VOR--DME	A
PHG	PHALSBOURG BOURSCHEID	424 Khz	L	A
PI	POITIERS BIARD	363 Khz	NDB	A
PL	PERPIGNAN RIVESALTES	351 Khz	L	A
PL	PERPIGNAN RIVESALTES	111.75 Mhz CH54Y	ILS--DME	A
PMR	PAMIERS LES PUJOLS	384 Khz	L	A
PNE	PARIS CHARLES DE GAULLE	109.35 Mhz CH30Y	ILS--DME	A
PNT	PONTIVY	377 Khz	L	A
PNW	PARIS CHARLES DE GAULLE	110.35 Mhz CH40Y	ILS--DME	A
PO	PAU PYRENEES	397 Khz	L	A
POI	POITIERS BIARD	113.3 Mhz	VOR	AE
PON	PONTOISE CORMEILLES EN VEXIN	111.6 Mhz	VOR	AE
PPG	PERPIGNAN RIVESALTES	116.25 Mhz CH109Y	VOR--DME	AE
PPN	PAMPLONA	377 Khz	L	A
PT	POITIERS BIARD	110.95 Mhz CH46Y	ILS--DME	A
PTV	PITHIVIERS	116.5 Mhz	VOR	E
PU	PAU PYRENEES	364 Khz	L	A
PX	PERIGUEUX BASSILLAC	389 Khz	L	A
PX	PERIGUEUX BASSILLAC	109.1 Mhz CH28X	ILS--DME	A
PY	LE PUY LOUDES	372 Khz	L	A
